PersNum;FamilyName;GivenName;OrgNumber;Leader;Boss;CostCode;Dutyname;ValidFrom;CostCodeName;Username;EmailAddress
40;Mako40;Karlos;5500;Mako41;Mako40;1385;Worker;10.08.2020;Foundry;mak40;mak40@makovec.cz
41;Mako41;Karlos;5500;Mako41;Mako40;1385;Worker;10.08.2020;Foundry;mak41;mak41@makovec.cz
42;Mako42;Karlos;5510;Mako41;Mako40;1385;Worker;10.08.2020;Foundry;mak42;mak42@makovec.cz
43;Mako43;Karlos;5510;Mako41;Mako40;1385;Worker;10.08.2020;Foundry;mak43;mak43@makovec.cz
44;Mako44;Karlos;5520;Mako41;Mako40;1385;Worker;10.08.2020;Foundry;mak44;mak44@makovec.cz
52;Mako52;Karlos;5520;Mako41;Mako40;1385;Worker;10.08.2020;Foundry;mak52;mak52@makovec.cz
60;Mako60;Karlos;5520;Mako41;Mako40;1385;Worker;10.08.2020;Foundry;mak60;mak60@makovec.cz
45;Mako45;Karlos;5530;Mako41;Mako40;1385;Worker;10.08.2020;Foundry;mak45;mak45@makovec.cz
53;Mako53;Karlos;5530;Mako41;Mako40;1385;Worker;10.08.2020;Foundry;mak53;mak53@makovec.cz
61;Mako61;Karlos;5530;Mako41;Mako40;1385;Worker;10.08.2020;Foundry;mak61;mak61@makovec.cz
46;Mako46;Karlos;5540;Mako41;Mako40;1385;Worker;10.08.2020;Foundry;mak46;mak46@makovec.cz
54;Mako54;Karlos;5540;Mako41;Mako40;1385;Worker;10.08.2020;Foundry;mak54;mak54@makovec.cz
62;Mako62;Karlos;5540;Mako41;Mako40;1385;Worker;10.08.2020;Foundry;mak62;mak62@makovec.cz
47;Mako47;Karlos;5550;Mako41;Mako40;1385;Worker;10.08.2020;Foundry;mak47;mak47@makovec.cz
55;Mako55;Karlos;5550;Mako41;Mako40;1385;Worker;10.08.2020;Foundry;mak55;mak55@makovec.cz
63;Mako63;Karlos;5550;Mako41;Mako40;1385;Worker;10.08.2020;Foundry;mak63;mak63@makovec.cz
48;Mako48;Karlos;5560;Mako41;Mako40;1385;Worker;10.08.2020;Foundry;mak48;mak48@makovec.cz
56;Mako56;Karlos;5560;Mako41;Mako40;1385;Worker;10.08.2020;Foundry;mak56;mak56@makovec.cz
64;Mako64;Karlos;5560;Mako41;Mako40;1385;Worker;10.08.2020;Foundry;mak64;mak64@makovec.cz
49;Mako49;Karlos;5570;Mako41;Mako40;1385;Worker;10.08.2020;Foundry;mak49;mak49@makovec.cz
57;Mako57;Karlos;5570;Mako41;Mako40;1385;Worker;10.08.2020;Foundry;mak57;mak57@makovec.cz
65;Mako65;Karlos;5570;Mako41;Mako40;1385;Worker;10.08.2020;Foundry;mak65;mak65@makovec.cz
50;Mako50;Karlos;5580;Mako41;Mako40;1385;Worker;10.08.2020;Foundry;mak50;mak50@makovec.cz
58;Mako58;Karlos;5580;Mako41;Mako40;1385;Worker;10.08.2020;Foundry;mak58;mak58@makovec.cz
51;Mako51;Karlos;5590;Mako41;Mako40;1385;Worker;10.08.2020;Foundry;mak51;mak51@makovec.cz
59;Mako59;Karlos;5590;Mako41;Mako40;1385;Worker;10.08.2020;Foundry;mak59;mak59@makovec.cz
